Serial,date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,AQI, pm25, pm10, o3, no2, so2, co,wd,Year,Month
51,2014/2/21,9,2,0,8.7,3,43,1,5,7,5,15,11,67,0,1031,9,10,104,11,349,184,68,45,30,14,7,4,2014,2
52,2014/2/22,10,4,0,7.2,2,36,3,4,7,4,22,44,75,0,1029,10,10,109,15,330,159,53,37,20,7,4,5,2014,2
53,2014/2/23,12,5,0,8.7,3,28,5,7,9,7,18,13,77,0,1029,12,10,91,13,316,141,73,46,23,12,6,6,2014,2
54,2014/2/24,11,6,0,4.2,2,20,7,7,9,7,23,87,85,2.5,1026,11,9,108,15,333,163,70,27,32,6,6,0,2014,2
55,2014/2/25,10,9,0,4.2,2,13,9,7,10,7,32,100,97,4.5,1021,10,10,80,20,328,157,20,36,17,6,3,1,2014,2
56,2014/2/26,11,8,0,4.2,2,5,9,8,10,8,20,91,94,0.2,1022,11,6,342,14,162,73,40,33,26,3,7,2,2014,2
57,2014/2/27,14,7,0,5.7,3,0,9,10,11,10,10,62,86,0.2,1024,14,7,180,7,290,117,76,25,43,15,10,3,2014,2
58,2014/2/28,9,7,0,4.2,2,0,7,7,9,7,20,85,91,0,1021,9,10,72,14,335,166,71,27,22,4,8,4,2014,2
59,2014/3/1,8,5,0,4.2,2,0,5,4,7,4,24,88,88,5.6,1021,8,9,147,17,330,159,31,25,21,4,4,5,2014,3
60,2014/3/2,11,4,0,7.2,2,2,2,5,7,5,22,45,71,0,1024,11,10,151,16,193,88,59,42,21,10,6,6,2014,3
61,2014/3/3,12,6,0,8.7,3,9,4,7,9,7,26,36,69,0.3,1024,12,9,71,18,311,134,53,39,19,8,4,0,2014,3
62,2014/3/4,11,7,0,4.3,2,16,8,8,9,8,16,84,91,1.2,1022,11,9,141,11,233,100,35,21,26,5,4,1,2014,3
63,2014/3/5,10,4,0,8.7,3,24,2,5,7,5,24,18,71,0,1027,10,10,116,17,167,80,46,37,15,8,4,2,2014,3
64,2014/3/6,7,3,0,4.3,2,31,0,3,6,3,19,58,67,0.2,1029,7,10,61,14,257,107,35,32,15,6,4,3,2014,3
65,2014/3/7,10,3,0,7.2,2,38,0,4,7,4,21,32,63,0,1030,10,10,74,15,143,73,32,43,18,5,3,4,2014,3
66,2014/3/8,7,2,0,4.3,2,46,2,4,6,4,15,82,79,1.8,1026,7,9,120,10,163,79,50,42,18,6,4,5,2014,3
67,2014/3/9,13,2,0,8.7,3,53,5,9,10,9,10,4,73,0,1027,13,10,251,7,283,115,70,35,38,13,7,6,2014,3
68,2014/3/10,13,2,0,5.8,3,60,6,8,10,8,15,28,78,0,1028,13,10,141,10,327,155,112,42,43,17,10,0,2014,3
69,2014/3/11,14,7,0,11.6,4,67,7,8,11,8,35,10,78,0,1023,14,10,147,24,353,189,56,46,20,7,4,1,2014,3
70,2014/3/12,15,7,0,6,3,75,11,10,12,10,28,89,94,7.2,1015,15,10,256,18,306,128,40,31,24,5,5,2,2014,3
71,2014/3/13,11,3,0,11.6,3,82,1,4,7,4,27,24,64,0,1023,11,10,328,20,207,92,50,31,20,11,6,3,2014,3
72,2014/3/14,14,3,0,11.6,4,89,2,8,10,8,21,9,56,0,1025,14,10,241,14,250,105,76,37,39,18,7,4,2014,3
73,2014/3/15,18,6,0,11.6,4,96,5,12,13,12,23,10,60,0,1022,18,10,184,15,328,157,83,61,37,16,5,5,2014,3
74,2014/3/16,19,9,0,11.6,5,100,10,15,16,15,25,7,73,0,1020,19,10,167,15,328,156,79,61,33,10,5,6,2014,3
75,2014/3/17,24,13,0,11.6,4,89,14,18,19,18,19,41,77,0.7,1016,24,10,190,12,321,147,78,51,37,12,10,0,2014,3
76,2014/3/18,24,10,0,11.6,5,82,15,19,20,19,13,0,75,0,1016,24,10,108,10,327,155,121,60,49,16,11,1,2014,3
77,2014/3/19,13,8,0,7.5,3,74,9,9,11,9,24,81,87,0.9,1016,13,10,140,17,348,182,118,34,23,6,5,2,2014,3
78,2014/3/20,13,6,0,11.8,3,67,2,6,9,6,28,46,62,0.1,1024,13,10,300,20,328,157,67,42,20,8,5,3,2014,3
79,2014/3/21,14,3,0,12.5,4,60,1,9,10,9,17,3,53,0,1027,14,10,174,13,318,144,52,38,22,8,3,4,2014,3
80,2014/3/22,15,5,0,12.5,4,53,4,10,12,10,23,5,60,0,1025,15,10,158,16,187,86,60,55,30,8,3,5,2014,3
81,2014/3/23,15,7,0,12.5,4,45,7,9,11,9,32,22,77,0,1026,15,10,141,21,290,117,51,43,21,5,3,6,2014,3
82,2014/3/24,13,9,0,11.8,4,38,9,10,12,10,28,53,84,0,1022,13,10,176,19,210,93,47,35,23,6,3,0,2014,3
83,2014/3/25,14,6,0,11.8,3,31,4,9,11,9,19,49,66,0,1025,14,10,180,13,237,101,59,19,38,9,6,1,2014,3
84,2014/3/26,15,6,0,11.8,3,24,5,10,12,10,19,52,67,0.5,1024,15,10,162,13,315,140,72,35,35,11,9,2,2014,3
85,2014/3/27,17,9,0,12.6,4,16,11,12,14,12,28,31,83,0.6,1018,17,10,132,19,333,163,44,39,28,4,4,3,2014,3
86,2014/3/28,18,12,0,9.2,4,9,14,15,15,15,32,74,90,1.5,1011,18,8,149,20,277,113,38,37,22,5,5,4,2014,3
87,2014/3/29,20,14,0,9.2,4,2,16,17,17,17,18,72,93,2.6,1008,20,6,206,12,267,110,60,19,35,6,10,5,2014,3
88,2014/3/30,20,10,0,12.7,5,0,10,14,15,14,19,20,76,0,1016,20,10,187,13,338,169,57,44,26,5,5,6,2014,3
89,2014/3/31,15,10,0,12.7,3,0,7,12,13,12,17,41,70,0,1016,15,10,97,12,318,143,52,45,22,4,4,0,2014,3
90,2014/4/1,17,11,0,11.9,3,5,10,14,14,14,11,50,77,0,1016,17,10,90,8,305,126,51,35,26,5,4,1,2014,4
91,2014/4/2,18,10,0,10.6,4,13,11,14,14,14,15,55,81,0.2,1016,18,10,86,11,304,125,51,55,23,6,3,2,2014,4
92,2014/4/3,19,9,0,12.7,4,21,10,13,14,13,17,44,77,0.6,1017,19,9,40,12,308,130,62,47,25,12,5,3,2014,4
93,2014/4/4,19,6,0,12.7,4,28,5,14,15,14,14,2,54,0,1019,19,10,222,10,293,118,76,44,30,12,5,4,2014,4
94,2014/4/5,20,7,0,12.8,4,36,5,12,13,12,21,10,58,0,1020,20,10,141,15,308,130,44,41,15,4,2,5,2014,4
95,2014/4/6,15,4,0,12.8,3,43,2,9,11,9,19,42,56,0,1025,15,10,97,14,133,70,44,42,18,4,4,6,2014,4
96,2014/4/7,17,10,0,12.8,4,51,9,12,13,12,24,49,77,0.9,1019,17,10,155,17,237,101,61,37,34,9,5,0,2014,4
97,2014/4/8,20,12,0,12.8,4,58,13,15,15,15,11,57,86,0.1,1017,20,8,92,7,319,145,64,51,25,5,5,1,2014,4
98,2014/4/9,20,11,0,12.8,4,66,13,16,16,16,13,34,86,0,1017,20,7,124,10,326,154,65,65,30,6,4,2,2014,4
99,2014/4/10,22,11,0,12.9,4,73,12,17,18,17,20,23,73,0,1018,22,9,129,13,318,143,60,43,21,3,3,3,2014,4
100,2014/4/11,19,12,0,12.9,4,81,11,14,15,14,26,53,79,0,1015,19,10,126,17,312,136,45,32,25,3,5,4,2014,4
101,2014/4/12,19,14,0,9.3,4,89,15,16,16,16,23,84,93,3.3,1011,19,9,222,15,300,120,42,44,15,4,4,5,2014,4
102,2014/4/13,15,10,0,9.4,3,96,12,13,14,13,20,71,90,0.2,1017,15,9,221,14,287,116,63,57,29,6,5,6,2014,4
103,2014/4/14,20,9,0,12.9,5,100,13,17,18,17,12,1,77,0,1021,20,9,69,9,325,152,54,55,25,5,3,0,2014,4
104,2014/4/15,19,10,0,13,5,89,10,15,15,15,27,9,71,0,1019,19,10,126,20,297,119,45,41,27,3,4,1,2014,4
105,2014/4/16,18,14,0,8.1,4,81,14,15,16,15,20,84,89,0.9,1012,18,10,201,13,263,109,104,11,47,12,12,2,2014,4
106,2014/4/17,24,13,0,10.7,5,74,16,19,20,19,11,55,83,0.6,1010,24,10,206,7,354,190,63,45,26,9,7,3,2014,4
107,2014/4/18,18,12,0,10.7,4,66,13,15,15,15,15,75,86,0,1016,18,7,40,11,315,140,26,41,15,2,4,4,2014,4
108,2014/4/19,15,12,0,8.1,3,59,13,13,14,13,21,91,94,0,1015,15,8,77,14,170,81,47,41,15,3,4,5,2014,4
109,2014/4/20,17,11,0,9.4,4,51,12,14,14,14,15,75,86,0.1,1017,17,8,43,11,257,107,49,38,23,3,4,6,2014,4
110,2014/4/21,16,10,0,8.2,3,44,11,13,13,13,15,85,85,1.7,1017,16,8,72,11,302,123,55,42,27,4,5,0,2014,4
111,2014/4/22,20,10,0,12,4,36,11,14,15,14,14,54,80,0.6,1018,20,9,147,10,310,133,70,52,39,7,7,1,2014,4
112,2014/4/23,19,8,0,13.1,5,28,8,15,15,15,16,25,65,0,1018,19,10,123,11,314,138,60,53,19,3,6,2,2014,4
113,2014/4/24,20,12,0,10.7,4,21,13,16,17,16,26,52,82,0.4,1017,20,9,123,18,309,132,47,51,14,3,3,3,2014,4
114,2014/4/25,20,15,0,13.1,4,13,14,17,17,17,34,50,83,0,1018,20,10,125,23,197,89,20,35,15,2,3,4,2014,4
115,2014/4/26,17,16,0,8.2,4,6,16,16,16,16,32,99,97,1,1016,17,9,135,20,175,69,49,29,23,4,8,5,2014,4
116,2014/4/27,20,15,0,9.5,4,0,16,17,17,17,24,77,90,0.3,1014,20,7,272,16,301,121,54,30,24,6,6,6,2014,4
117,2014/4/28,18,13,0,10.7,4,0,13,15,16,15,29,49,84,0,1016,18,8,310,20,310,133,72,65,29,14,8,0,2014,4
118,2014/4/29,23,12,0,13.2,5,0,12,18,19,18,17,11,72,0.1,1015,23,10,244,13,325,153,64,68,31,7,7,1,2014,4
119,2014/4/30,23,9,0,13.2,5,1,12,18,18,18,15,6,71,0,1014,23,8,173,9,323,150,84,95,23,8,6,2,2014,4
120,2014/5/1,26,14,0,13.2,6,9,14,22,22,21,18,8,67,0,1014,26,10,177,12,336,167,96,79,30,12,6,3,2014,5
121,2014/5/2,30,16,0,13.2,6,16,14,24,24,23,20,13,57,0,1017,30,10,198,14,332,161,67,47,17,6,4,4,2014,5
122,2014/5/3,18,14,0,13.3,4,23,10,16,16,16,21,45,66,0.2,1021,18,9,93,15,263,109,61,31,31,5,6,5,2014,5
123,2014/5/4,19,13,0,10.8,4,31,13,16,16,16,17,67,81,4.4,1017,19,9,210,11,305,127,59,52,20,7,3,6,2014,5
124,2014/5/5,19,11,0,13.3,4,38,4,15,15,15,19,38,49,0,1022,19,10,74,13,220,96,64,63,21,6,3,0,2014,5
125,2014/5/6,20,10,0,13.3,5,45,6,16,16,16,23,6,52,0,1020,20,10,144,16,250,105,66,69,20,7,4,1,2014,5
126,2014/5/7,24,14,0,10.8,5,52,13,19,20,19,24,41,69,0,1012,24,10,169,17,297,119,82,78,29,9,7,2,2014,5
127,2014/5/8,25,15,0,12,5,60,14,21,22,21,18,36,65,0,1014,25,10,156,13,327,155,54,48,19,5,5,3,2014,5
128,2014/5/9,20,14,0,13.3,5,67,11,17,17,17,23,48,68,0.1,1015,20,10,113,17,308,130,46,40,13,2,4,4,2014,5
129,2014/5/10,19,16,0,8.4,4,74,17,18,18,18,36,98,92,0.6,1012,19,9,121,23,302,122,32,26,14,3,5,5,2014,5
130,2014/5/11,23,17,0,8.4,5,81,18,20,20,20,29,85,88,2,1007,23,9,223,19,237,101,73,79,26,8,8,6,2014,5
131,2014/5/12,25,15,0,12,5,89,13,21,21,21,15,36,63,0,1012,25,10,219,10,335,165,66,65,26,7,6,0,2014,5
132,2014/5/13,23,16,0,13.3,5,96,13,20,20,20,25,50,68,4.4,1008,23,10,150,18,319,145,64,104,23,7,9,1,2014,5
133,2014/5/14,28,18,0,12.1,5,100,19,23,23,22,13,76,83,2.8,1002,28,8,248,9,321,147,73,72,28,7,7,2,2014,5
134,2014/5/15,26,16,0,13.8,6,89,14,22,22,21,15,30,64,0,1007,26,10,173,10,322,148,90,71,28,6,5,3,2014,5
135,2014/5/16,25,16,0,13.8,6,82,13,22,22,21,18,17,61,0,1010,25,10,137,12,315,139,56,54,15,2,6,4,2014,5
136,2014/5/17,21,17,0,8.7,4,75,16,19,19,19,18,98,86,1.1,1011,21,7,116,13,312,135,38,45,12,2,4,5,2014,5
137,2014/5/18,19,16,0,8.7,4,68,15,18,18,18,15,91,84,0.5,1012,19,7,60,12,213,94,46,36,18,2,5,6,2014,5
138,2014/5/19,23,16,0,8.7,5,60,17,20,21,20,9,77,83,0.3,1010,23,10,116,7,304,125,65,57,21,4,6,0,2014,5
139,2014/5/20,25,18,0,12.2,5,53,18,22,22,22,16,48,79,0.3,1008,25,8,234,12,325,152,81,110,24,7,8,1,2014,5
140,2014/5/21,27,17,0,13.9,6,46,17,24,24,23,18,15,72,0,1009,27,10,146,13,333,163,67,71,16,4,5,2,2014,5
141,2014/5/22,26,18,0,13.9,6,39,16,23,23,22,24,8,72,0,1012,26,10,155,18,316,141,36,47,13,2,3,3,2014,5
142,2014/5/23,25,18,0,13.9,6,31,17,23,23,22,27,2,77,0,1016,25,10,134,21,180,84,34,42,9,2,3,4,2014,5
143,2014/5/24,25,18,0,11,5,24,19,24,24,22,31,49,83,0,1013,25,10,147,22,177,83,65,35,22,5,8,5,2014,5
144,2014/5/25,29,21,0,9.9,6,17,22,28,28,25,15,80,84,1.5,1008,29,10,223,11,310,133,129,76,24,9,8,6,2014,5
145,2014/5/26,30,21,0,13.3,6,9,19,28,28,26,14,33,69,0,1009,30,8,186,10,342,175,139,96,29,9,7,0,2014,5
146,2014/5/27,32,21,0,14,7,2,15,28,28,27,20,15,50,0,1005,32,10,228,13,352,188,138,87,36,15,8,1,2014,5
147,2014/5/28,35,22,0,14,7,0,15,30,30,29,18,19,46,0,1006,35,10,217,11,338,169,113,92,39,14,6,2,2014,5
148,2014/5/29,32,22,0,14,7,0,16,28,28,27,19,16,52,0,1007,32,10,155,12,315,140,120,90,38,10,6,3,2014,5
149,2014/5/30,31,22,0,13.4,6,5,16,28,28,27,22,29,52,0,1009,31,10,169,15,329,158,66,65,12,4,5,4,2014,5
150,2014/5/31,26,20,0,14,6,9,18,24,24,23,28,31,77,0,1011,26,10,142,21,305,127,29,41,8,2,4,5,2014,5
151,2014/6/1,25,20,0,8.8,5,20,20,24,24,23,35,85,87,8.2,1005,25,9,152,26,173,82,47,39,12,3,7,6,2014,6
152,2014/6/2,27,20,0,14,6,28,19,25,25,23,28,40,78,0,1003,27,10,281,20,293,118,47,39,16,5,6,0,2014,6
153,2014/6/3,23,17,0,9.9,5,35,16,22,22,21,21,61,74,0.3,1005,23,10,299,15,303,124,61,38,20,7,6,1,2014,6
154,2014/6/4,25,18,0,11.1,5,43,17,23,23,22,19,55,72,0,1005,25,10,244,13,324,151,47,42,21,4,5,2,2014,6
155,2014/6/5,27,18,0,13.4,5,50,18,24,24,23,13,46,78,0.1,1006,27,9,105,10,300,120,51,49,18,3,5,3,2014,6
156,2014/6/6,28,19,0,14.1,6,58,19,25,25,24,13,20,74,0,1005,28,10,117,10,304,125,61,77,17,3,6,4,2014,6
157,2014/6/7,30,20,0,14.1,7,65,21,27,27,25,14,20,78,0,1004,30,10,122,10,312,135,44,39,13,2,5,5,2014,6
158,2014/6/8,27,21,0,14.1,6,73,19,26,26,24,15,21,77,0,1006,27,10,115,12,287,116,40,44,11,2,5,6,2014,6
159,2014/6/9,26,20,0,14.1,6,81,19,24,24,23,20,28,80,0,1006,26,10,109,16,207,92,37,29,13,2,4,0,2014,6
160,2014/6/10,28,20,0,13.4,5,88,19,26,26,24,16,27,76,0,1007,28,10,73,13,180,84,38,39,13,2,4,1,2014,6
161,2014/6/11,28,20,0,13.4,5,96,19,25,25,24,13,43,75,0.3,1007,28,8,69,10,183,85,60,59,23,5,6,2,2014,6
162,2014/6/12,29,19,0,13.4,7,100,18,25,25,24,10,38,69,0.3,1006,29,10,95,8,308,131,79,113,27,7,7,3,2014,6
163,2014/6/13,31,19,0,14.1,7,89,18,28,28,27,12,21,61,0,1008,31,10,187,9,331,160,96,130,30,8,8,4,2014,6
164,2014/6/14,34,22,0,14.1,7,82,18,29,29,28,13,20,55,0,1008,34,10,162,9,336,167,63,47,20,4,5,5,2014,6
165,2014/6/15,29,23,0,12.2,6,74,18,27,27,26,17,53,65,0,1007,29,10,121,13,308,130,31,38,12,2,5,6,2014,6
166,2014/6/16,26,22,0,9.1,5,67,21,26,26,24,25,92,86,0,1003,26,10,116,19,150,74,47,37,21,1,6,0,2014,6
167,2014/6/17,26,21,0,9.1,5,59,22,27,27,24,12,87,86,0.1,1002,26,8,220,9,293,118,32,44,17,2,5,1,2014,6
168,2014/6/18,26,20,0,12.3,5,52,19,25,25,23,12,51,79,0.1,1006,26,10,76,9,180,84,46,50,15,2,5,2,2014,6
169,2014/6/19,27,21,0,14.5,7,44,20,26,26,24,20,35,79,0,1005,27,10,126,16,250,105,37,35,22,1,6,3,2014,6
170,2014/6/20,27,22,0,9.1,6,36,23,27,27,25,14,93,90,3.5,1003,27,7,133,10,193,88,34,30,21,1,5,4,2014,6
171,2014/6/21,23,22,0,10.2,5,29,22,25,25,23,17,93,95,10,1004,23,7,39,11,213,94,24,36,14,1,4,5,2014,6
172,2014/6/22,24,21,0,13.4,5,21,20,25,25,23,11,51,86,0.4,1008,24,8,85,8,138,68,38,28,20,2,5,6,2014,6
173,2014/6/23,23,20,0,12.3,5,14,20,24,24,22,11,51,86,0,1008,23,9,135,8,210,93,50,69,17,3,6,0,2014,6
174,2014/6/24,28,20,0,14.5,7,6,21,26,26,24,14,20,80,0,1007,28,9,165,10,297,119,25,36,19,2,6,1,2014,6
175,2014/6/25,24,21,0,9.1,5,0,20,25,25,22,16,89,89,0,1007,24,10,127,11,162,69,18,34,23,1,7,2,2014,6
176,2014/6/26,25,21,0,9.1,5,0,22,25,25,23,11,100,94,0.5,1005,25,5,73,8,150,56,27,29,21,2,6,3,2014,6
177,2014/6/27,24,20,0,10.1,5,0,21,25,25,23,10,82,92,2.7,1006,24,7,48,7,188,61,73,64,32,4,9,4,2014,6
178,2014/6/28,29,19,0,13.4,6,1,21,26,26,24,10,44,81,0,1007,29,8,204,7,316,141,80,90,29,7,8,5,2014,6
179,2014/6/29,30,21,0,13.4,6,9,20,28,28,26,12,46,73,0,1008,30,10,181,9,333,163,59,49,23,4,6,6,2014,6
180,2014/6/30,24,20,0,13.4,5,16,19,25,25,23,14,54,81,0.2,1010,24,10,169,10,314,138,46,33,18,1,5,0,2014,6
181,2014/7/1,26,21,0,10.1,5,23,21,26,26,23,15,94,89,1,1010,26,10,123,11,260,108,48,27,21,1,8,1,2014,7
182,2014/7/2,29,23,0,10.1,6,30,23,29,29,25,16,79,87,0.4,1003,29,8,235,11,287,116,70,63,20,4,9,2,2014,7
183,2014/7/3,30,21,0,14.5,7,37,22,28,28,26,14,24,79,0,1004,30,9,235,10,322,148,46,47,20,2,7,3,2014,7
184,2014/7/4,28,21,0,11.2,5,45,21,26,26,24,21,62,83,0.4,1007,28,10,101,15,247,104,42,41,15,1,5,4,2014,7
185,2014/7/5,27,22,0,12.3,6,52,24,29,29,25,26,65,93,3.6,1004,27,9,165,16,188,82,51,51,15,3,9,5,2014,7
186,2014/7/6,28,21,0,13.4,6,59,22,28,28,25,19,52,84,9.6,1005,28,9,291,13,305,127,51,41,21,4,7,6,2014,7
187,2014/7/7,29,21,0,13.4,6,66,22,28,28,25,12,40,85,0,1005,29,7,176,8,267,110,31,35,12,2,4,0,2014,7
188,2014/7/8,29,22,0,11.2,6,74,23,29,29,26,19,49,86,0.1,1002,29,7,48,14,138,64,37,22,10,3,5,1,2014,7
189,2014/7/9,31,24,0,12.3,6,81,23,31,31,27,26,48,81,0.3,1000,31,9,342,19,188,70,83,93,23,5,9,2,2014,7
190,2014/7/10,33,23,0,13.4,7,88,25,35,35,29,9,27,77,0,1003,33,8,222,6,315,140,95,57,26,3,9,3,2014,7
